lan_a,lan_b
‫عَوٌْذ‬,"to take refuge, to take protection"
‫أَعُوْذُ‬,"I take refuge, I take protection"
‫بِ‬,"of, with, by, in"
‫مِنْ‬,"from, of, some of, since, then"
‫رَجِيْمٌ‬,"stoned, cursed, damned"
‫اِسْمٌ‬,"name, noun"
‫اَ َّ لرحْمَنُ‬‏,"Beneficent, Compassionate"
‫اَل َّ رحِيْمٌ‬,"merciful, Compassionate"
‫اَلْحَمُْد‬,"the praise, thanks, commend, admire"
‫لِ‬,"for, because of, due to, for the sake of"
‫رَبِّ  الْعَالَمِيْنَ‬,"Sustainer of the worlds, Lord of the worlds/creatures"
‫مَالِكِ‬,"owner, king, master"
‫يَوْمَ‬,day
‫اَلِّ ديْن‬,"judgment, religion, faith, creed"
‫إَِّ ياكَ‬,Thee alone
‫نَعْبُدُ‬,we worship
‫َو‬,and
‫نَسْتَعِيْنُ‬,"we ask for help, assistance, support"
‫اِسْتَعَانَ‬,"to ask for help, succor, support"
‫اِهْدِ‬,"guide, direct, lead on right course or way, show the way, make aware"
‫نَا‬,"us, our, ours"
‫صِراطَ‬,"path, way course"
‫مُسْتَقِيْمٌ‬,"straight, upright, erect, correct, righteous honest"
‫اََّ لذِيْنَ‬,"those, who"
‫أَنْعَمْتَ‬,"you have favored, you bestowed grace"
‫عَلَيْهِمْ‬,"unto them, upon them"
‫غَيْر‬,other than
مَغْضُوْبٌ,those who earned wrath
‫لَا‬,"not, no, do not, don't"
‫اَل َّ ضآِّ ليَْن‬‏,"who go astray, who lose the way"
‫ذالِكَ‬,"this, that"
‫لَارَيْبَ‬,"no doubt, no suspicion"
‫فِيْهِ‬,"in this, in, at, on, within"
‫مَُّ تقِيَْن‬,"those who ward off evil, pious, God-fearing"
‫يُؤْمِنُوْنَ‬,they believe
‫غَيْبُ‬,"unseen, secret, invisible"
‫َو‬,"and, and also"
‫يُقيْمُوْنَ‬,"they establish, they are steadfast"
‫ال َّ ّصلَاةُ‬‏,prayer
‫مِ َّ ما‬,"of that, from that"
‫رَزَقْنَا‬,"we have provided, bestowed, blessed, endowed with livelihood"
‫نَا‬,"we, us, our"
‫هُمْ‬,"them, they, their"
‫يُنْفِقُوْنَ‬,they spend / distribute
‫بِمَا‬,"which, with"
‫أُنْزِلَ‬,"revealed, sent down"
‫إِلَيْكَ‬,unto thee
‫مَا‬,"which, whatever"
‫قَبْلِكَ‬,before thee
‫ءاخِرَةٌ‬,"life after death, hereafter, life to come"
‫يُوْقِنُوْنَ‬,"they are certain of, sure, affirm"
‫اُوْلآئِكَ‬,those / (these) people
‫عَلى‬,"on, upon, above"
‫هُدًى‬,guidance
‫مُفْلِحُوْنَ‬,successful
‫إِنَّ ‬,"certainly, undoubtedly, doubtless"
‫آَفَرُوْا‬,"they disbelieved, they rejected"
‫سَوَآءٌ‬,"equal, all the same"
‫ءَ‬,whether (sign of interrogation)
‫أَنْذَرْتَ‬,you warned / frightened
‫أَمْ‬,or
‫لَمْ‬,not
‫لَا يُؤْمِنُوْنَ‬,they do / will not believe
‫خَتَمَ‬,"sealed, closed, concluded"
‫قُلُوْ‬ب‬,hearts
‫سَمْعِهِمْ‬,their ears / hearing
‫أَبْصَارٌ‬,"eye-sight, eyes"
‫غِشَاوَةٌ‬,"covering, dimness"
‫وَلَهُمْ‬,and for them
‫عَذَابٌ‬,"punishment, torment"
‫عَظِيْمٌ‬,Great
‫اَلَّ ناسُ‬,the men / mankind / people
‫مَنْ‬,who
‫يَقُوْلُ‬,he says / speaks / tells
‫ءَامََّ نا‬,"we believe, we have faith"
‫مَالَهُمْ‬,they are not
‫يُخَادِعُوْنَ‬,"they beguile, they deceive"
‫إَِّ لا‬,"but, except"
‫أَنْفُسَهُمْ‬,their person / soul
‫مايَشْعُرُوْنَ‬,they don't perceive / realize
‫مَرَضٌ‬,"disease, illness, sickness"
‫فَ‬,"therefore, then"
‫زَادَ‬,increased
‫أَلِيْمٌ‬,painful
‫بِمَا‬,because
‫آَانُوْا‬,they were
‫يكْذِبُوْنَ‬,they tell a lie
‫إذَا‬,"when, whenever"
‫قِيْلَ‬,is said / told
‫لَهُمْ‬,unto them
‫لَاتُفْسِدُوْا‬,"make not mischief, act not wickedly / corruptly"
‫فِي الْأَرْ ِض‬‏,on the earth
‫قَالُوْا‬,they said
‫إنَّ َما‬,"only, infact, verily"
‫نَحْنُ‬,we
‫ُمصْلِحُوَْن‬,"those who put things right, reformers"
‫أَلَا‬,"be aware, be careful, better understand"
‫مُفْسِدُوْنَ‬,"mischievous, persons, disturbance creators"
‫لاآِنْ‬,but
‫ءَامُِنوْا‬,"believe, become faithful"
‫آَمَا‬,"like, as, alike"
‫أَ‬,what (sign of interrogation)
‫سُفَهآُء‬,foolish/insolent/stupid persons
‫لَقُوْا‬,they met
‫ءَامََّ نا‬,we believed / became faithful
‫خَلَوْا‬,"they went in loneliness, secluded in privacy, they are alone"
‫شَيَاطِيْن‬,"devils, devil type behavior"
‫مُسْتَهْزِءُوْنَ‬,"those who scoff, sneer or laugh"
‫يَُ ُّمد‬,"grants leave, gives respite"
‫طُغْيَانْ‬,"contumacy, wickedness"
‫يَعْمَهُوَْن‬,they wander blindly in confusion
‫اِشْتَرَوْا‬,they purchased / bartered
‫ضَلَالٌَة‬,"deception, straying"
‫هُدى‬,"guidance, right way"
‫فَمَا‬,so (it did) not
‫رَبِحَتْ‬,"profited, benefited"
‫مَارَبِحَتْ‬,did not profit
‫تِجَارَةٌ‬,"commerce, trade, trafficking"
‫مُهْتَدِيَْن‬,rightly directed or guided persons
‫مَثَلٌ‬,example
‫كَ‬,"as, like"
‫اَّ لذِيْ‬,one who
‫اِسْتَوْقََد‬,"kindled, lighted"
‫نَارٌ‬,fire
‫فَلَ َّ ما‬,when
‫أَضَآءَتْ‬,lighted
‫حَوْلَهُ‬,"around him, his surroundings"
‫ذَهَبَ‬,"took away, carried off"
‫تَرَكَ‬,"left, abandoned"
‫فِىْ‬,"in, in between"
‫ظُلُمَاتٌ‬,"darkness, gloom"
‫لَا يُبْصِرُوْنَ‬,they do not see
‫صُمٌّ ‬,deaf
‫بُكْمٌ‬,dumb
‫عُمْىٌ‬,blind
‫فَهُمْ‬,therefore they
‫لَايَرْجِعُوْنَ‬,they do / will not return
‫أَوْ‬,or
‫كَ‬,like
‫صَِّ يبٌ‬,"rain-laden cloud, rainy storm"
‫سَمَآءُ‬,sky
‫رَعْدٌ‬,thunder
‫بَرْقٌ‬,lightening
‫يَجْعَلُوْنَ‬,they thrust/put/place
‫أَصَابِعْ‬,fingers
‫ااذَاٌن‬,ears
‫صَوَاعِقُ‬,thunderclaps
‫حَذَرٌ‬,"fear, danger"
‫مَوْتٌ‬,death
‫مُحِيْطٌ‬,"one who surrounds, encompasses"
‫يَكَادُ‬,"almost, nearly"
‫يَخْطَفُ‬,snatches / takes away
‫آَُّ لمَا‬,"as often, whenever"
‫مَشَوْا‬,they walked
‫إذَا‬,when
‫أَظْلَمَ‬,became dark
‫قَامُوْا‬,they stood still
‫لَوْ‬,if
‫شَآءَ‬,"willed, wished"
‫آُ  ِّل شَيٍْء‬,everything
‫قَدِيْرٌ‬,"omnipotent, command, capable, skillful"
‫يآأَُّ يهَا الَّ ناسُ‬,O! mankind
‫اُعْبُدُوْا‬,worship
‫رَبَّ ‬,"Sustainer, lord, Provider"
‫آُمْ‬,your
‫أََّ لذِيْ‬,one who
‫خَلَقَ‬,"created, molded, shaped"
‫لَعََّ لكُْم‬,so that you
‫تََّ تقُوْنَ‬,"you may ward off(evil), you become righteous/pious"
‫جَعَلَ‬,"created, made"
‫لَكُمْ‬,for you
‫أَرْضٌ‬,earth
‫فِرَاشًا‬,"couch, resting place, bed"
‫بِنَآءٌ‬,"canopy, covering"
‫أَنْزَلَ‬,"sent down, revealed"
‫مَآءٌ‬,water
‫أَخْرَجَ‬,brought forth
‫بِِه‬,"therewith, with it"
‫مِنْ‬,"of, by, from"
‫ثَمَرَاتْ‬,"fruits, gains, benefits"
‫فَلَاتَجْعَلُوْا‬,they do not set up / appoint
‫أَنْدَادًا‬,"partners, equivalent"
‫أَنْتُمْ‬,you
‫تَعْلَمُوْنَ‬,you know / are aware
‫إِنْ‬,if
‫آُنْتُمْ‬,you are / were
‫فِي‬,"in, within"
‫رَيْبٌ‬,"doubt, suspicion"
‫نَ َّ زلْنَا‬,we revealed
‫عَلى‬,"upon, on, unto"
‫عَبْدٌ‬,"slave, servant"
‫فَأُْتوْا‬,so produce / bring
‫سُوْرَةٌ‬,"Surah, a chapter of the Qur'aan"
‫مِثْلِهِ‬,"like it, similar to it / him"
‫وَادْعُوْا‬,and call
‫شُهَدَاءُ‬,witnesses
‫مِنْ دُوْنِ اللَّ ِه‬,apart from Allah
‫صَادِقِيَْن‬,those who are truthful
‫فَ‬,then
‫أِنْ‬,if
‫لَمْ‬,not
‫تَفْعَلُوْا‬,you can do
‫لَنْ‬,never
‫اََّ لتِيْ‬,"whose, that which"
‫وَقُوْدٌ‬,fuel
‫هَا‬,"its, her"
‫حِجَارَةٌ‬,stones
‫أُعَِّ دتْ‬,prepared
‫آَافِرِيْنَ‬,"disbelievers, those who reject faith"
‫بَ ِّ شرْ‬,give glad tidings
‫بَشَارَةٌ‬,good news
‫عَمِلُوْا‬,"they worked, did deeds"
‫صَالِحَات‬,righteous deeds
‫صَالِحُوْنَ‬,righteous persons
‫أَنَّ ‬,that
‫لَهُمْ‬,for them
‫جََّ ناتٍ‬,gardens
‫تَجْرِيْ‬,flows
‫تَحْتَ‬,"underneath, under"
‫أَنْهَارٌ‬,rivers
‫آَُّ لمَا‬,whenever
‫رُزِقُوْا‬,they are provided with
‫ثَمَرَةٌ‬,fruit
‫هَذَا‬,this
‫أُتُوْا‬,"are provided, are given"
‫مُتَشَابِهًا‬,"similar, similitude"
‫أَزُوَاجٌ‬,spouses
‫مُطَ َّ هرَةٌ‬,one who is purified
‫خَالِدُوَْن‬,abide forever
‫لَايَسْتَحْيِ‬,disdains not
يَضْرِبُ مَثَلاً,"uses a similitude, gives an example"
‫بَعُوْضَةٌ‬,"gnat, mosquito"
‫فَمَا فَوْقَهَا‬,or ought above it
‫فَأَ َّ ما‬,then as
‫أََّ نهُ‬,that it / he
‫حَقُّ ‬,truth
‫مَاذَا‬,what
‫أَرَادَ‬,"desired, wished, intended"
‫يُضِ  ُّل‬,leads astray
‫يَهْدِيْ‬,guides
‫آَثِيرْ‬,many
‫إَِّ لا‬,except
‫فَاسِقِيْنَ‬,transgressors
‫يَنْقُضُوْنَ‬,they break
‫عَهْد‬,covenant
‫مِنْ بَعْدِ‬,after it
‫مِيْثَاق‬,ratification (of covenant)
‫يَقْطَعُوْنَ‬,they cut off
‫أَمَرَ‬,commanded
‫يُوْصَلُ‬,be joined
‫خَاسِرُوْنَ‬,losers
‫آَيْفَ‬,how
‫أَمْوَاتًا‬,dead
‫فَأَحْيَاآُمْ‬,and (he) gave you life
‫ثُ َّم‬,then
‫تُرْجَعُوْنَ‬,you'll be returned
‫خَلَقَ‬,created
‫لَكُمْ‬,for you
‫ثَمَرَةٌ‬,fruit
‫حُزْنٌ‬,"grief, sorrow"
‫آَفَرُوْا‬,"they rejected faith, they disbelieved"
‫آََّ ذبُوْا‬,they belied
‫ءَايَاتِنَا‬,our signs
‫أَصْحَابُ الَّ نارِ‬,"companions of the fire, inhabitants of the fire"
‫يَا‬,O!
‫بَنِيْ اِسْرَآئِيْلَ‬,children of Israel
‫اذْآُرُوْا‬,"remember, recall, call to mind"
‫أَوْفُوْا‬,fulfill
‫عَهْد‬,"covenant, promise"
‫أُوْفِ‬,I (shall) fulfill
‫إَِّ يايَ‬,me alone
‫فَارْهَبُوْنِ‬,"and fear me, and have awe of me"
‫أَنْزَلُْت‬,I revealed / have sent down
‫مُصَِّ دقًا‬,that which confirms
‫لِمَا‬,(for) that which
‫مَعَكُمْ‬,with you
‫لَا تَكُوْنُوْا‬,"be not, do not become"
‫أَ َّ ولَ‬,"the first, prime"
‫لَا تَشْتَرُوْا‬,do not sell
‫اايَاتِْي‬,my signs
‫ثَمَنًا‬,price
‫قَلِيْلاً‬,"little, small"
‫لَاتَلْبِسُوْا‬,do not cover / confound
‫بَاطِل‬,falsehood
‫لَاتَكْتُمُوْا‬,"do not conceal, hide"
‫أَقِيْمُوْا‬,"perform, be steadfast in"
‫ارْآَعُوْا‬,"bow down, bend down"
‫رَاآِعِيْنَ‬,those that bow down
‫أَ‬,do? (what?)
‫تَاْمُرُوْنَ‬,you enjoin
‫بِرّ‬,"right conduct, peity, righteousness"
‫تَنْسَوْنَ‬,you forget
‫أَنْفُسَكُمْ‬,yourselves
‫تَتْلُوْنَ‬,you read / recite
‫أَفَلَا‬,will then (you) not
‫تَعْقِلُوْنَ‬,you understand / think
‫ْ‫اِ‬ستَعِيْنُوْا‬,seek help
‫لَكَبِيْرَةٌ‬,indead hard
‫خَاشِعِيْنَ‬,those who are humble
‫يَظُُّ نوْنَ‬,they bear in mind
‫أََّ نهُمْ‬,that they
‫مُلَاقُوْا‬,those who are going to meet
‫رَاجِعُوْنَ‬,those who return
‫أَِّ نيْ‬,that I
‫فَ َّ ضلْ‬‏‫ُت‬,"I preferred, I gave preference"
‫وَاَّ تقُوْا‬,and beware/guard
‫يوْمًا‬,day
‫لَاتَجْزِيْ‬,shall not avail
‫نَفْسٌ‬,soul
‫عَ ْن‬‏,"with regard to, about"
‫لَايُقْبَلُ‬,shall not be accepted
‫شَفَاعَةٌ‬,intercession
‫يُنْصَرُوْنَ‬,they shall be helped
‫لَا يُؤْخَذُ‬,shall not be taken
‫عَدْلٌ‬,compensation
‫نَ َّ جيْنَاآُمْ‬,we delivered you
‫االَ‬,"people, followers"
‫فِرْعَوْنَ‬,Pharaoh (A cruel king in the time of Prophet Moses (A.H.))
‫يَسُوْمُوْنَ‬,they afflict
‫سُوْءَ‬,evil
‫عَذَاب‬,"punishment, chastisement"
‫ذَبْحِ‬,to slaughter
‫أَبْنَآءَ‬,"sons, male-children"
‫يَسْتَحْيُوْنَ‬,they spare / let live
‫نِسَآء‬,women
‫وَفِيْ ذَلِكُمْ‬,"and therein, and in that"
‫بَلَآءٌ‬,trial
‫رَُّ بكُمْ‬,your Lord
‫عَظِيْمٌ‬,"tremendous, great"
‫إِذْ‬,when
‫فَرَقْنَا‬,We divided / seperated
‫بكُمْ‬,for you
‫بَحْرٌ‬,sea
‫أَغْرَقْنَا‬,we drowned
‫تَنْظُرُوَْن‬,you were seeing
‫وَاعَدْنَا‬,We promised
‫أَرْبَعِيْنَ‬,forty
‫لَيْلَة‬,night
‫ثُ َّم‬,then
‫اَِّ تخَذْتُمْ‬,you took
‫عِجْلٌ‬,calf
‫مِنْ بَعْدِِه‬,after him
‫ظَالِمُوْنَ‬,"evil doers, wrong doers"
‫عَفَوْنَا‬,We pardoned
‫مِنْ بَعْدِ ذَلِكَ‬,after that
‫فُرْقَا ْن‬‏,The Scripture to differentiate between right and wrong
‫تُوْبُوْا‬,turn (in repentance)
‫بَارِىٌ‬,"Maker, Creator"
‫حََّ تى‬,"till, until"
‫نَراى‬,we see
‫جَهْرَةً‬,"openly, manifestly"
‫صَاعِقَةٌ‬,"thunderbolt, thunder and lightning"
‫بَعْثٌ‬,raised up
‫ظََّ للْنَا‬,we gave shadow
‫غَمَاٌم‬,cloud
‫اَلْمَنُّ ‬,grains like those of coriander seeds
‫سَلْواى‬,quails
‫آُلُوْا‬,eat
‫طَِّ يبَا ِت‬‏,good things
‫ظَلَمُوْا‬,they wronged
‫لكِنْ‬,but
‫هَذِهِ‬,this
‫قَرْيَةٌ‬,"town, township"
‫حَيْثُ‬,wherever
‫شِئْتُمْ‬,you wished
‫رَغَدًا‬,plentifully
‫بَا ٌب‬‏,gate
‫سُ َّ جدًا‬,prostrating
‫قُوْلُوْا‬,say
‫حِ َّ طةٌ‬‏,forgiveness
‫نَغْفِرْ‬,we (will) forgive
‫خَطَايَاآُمْ‬,your faults/transgressions
‫سَ‬,"soon, in near future"
‫نَزِيْدُ‬,we will increase
‫مُحْسِنِيْنَ‬,those who do good
‫فَ‬,"but, then"
‫بََّ دلَ‬,"changed, substituted"
‫رِجْزًا‬,"wrath, plague, scourge"
‫يَفْسُقُوَْن‬,they infringe/transgress
‫اِسْتَسْقى‬,asked/prayed for water
‫اِضْرِبْ‬,strike
‫عَصَا‬,staff
‫حَجَرْ‬,"stone, rock"
‫اِنْفَجَرَ ْت‬‏,gushed forth
‫اِثْنَتَا عَشَرَةَ‬,twelve
‫عَيْنًا‬,"spring, fountain"
‫عُيُوْنٌ‬,"springs, fountains"
‫قَدْ‬,certainly
‫عَلِمَ‬,knew
‫آُ  ُّل‬,all
‫أُنَاسٌ‬,people
‫مَشْرَبٌ‬,"drinking place, place for water"
‫آُلُوْا‬,eat
‫اِشْرَبُوْا‬,drink
‫لَاتَعْثَوْا‬,don't act corruptly
‫طَعَامٌ‬,food
‫وَاحِدٌ‬,one
‫فَادْعُ‬,"thus call upon, pray"
‫لَنَا‬,for us
‫يُخْرُِج‬,brings forth
‫تُنْبِتُ‬,"grows, germinates"
‫بَقْلٌ‬,"herbs, vegetables"
‫قَِّ ثآٌء‬,cucumbers
‫فُوْمٌ‬,wheat
‫عَدَسٌ‬,"lentils, a kind of pulse"
‫بَصَلٌ‬,onions
‫تَسْتَبْدِلُوْنَ‬,you exchange
‫أَدْنى‬,lower (grade)
‫خَيْرٌ‬,good (better)
‫مِصٌْر‬,"big city, metropolis"
‫سَأَلْتُمْ‬,you demanded / asked
‫ضُرِبَتْ‬,(was) covered /struck/hit
‫ذَِّ لةٌ‬,"humiliation, abasement"
‫مَسْكَنَةٌ‬,poverty
‫بَآعُوْا‬,they made themselves entitled
‫يَقْتُلُوْنَ‬,they kill
‫نَِّ بيِيْنَ‬,prophets
‫عَصَوْا‬,they disobeyed
‫يَعْتَدُوْنَ‬,they transgress
‫هَادُوْا‬,they became Jews
‫نَصَارى‬,Christians
‫صَابِئِيْنَ‬,Sabians
‫يَوْمُ الاَخِرَةِ‬,the last day (of resurrection)
‫عَمِلَ‬,"worked, acted"
‫صَالًِحا‬,"righteous, good"
‫أَجْرُهُمْ‬,their reward / remuneration
‫عِنْدَرَبْ‬,with Lord
‫حَزِنَ‬,"grieved, became sad"
‫أَخَذْنَا‬,we took
‫مِيْثَاقٌ‬,"covenant, bond"
‫رَفَعْنَا‬,we raised
‫فَوْقَ‬,"over, above"
‫طُوْرٌ‬,name of a mountain
‫تَوََّ ليْتُمْ‬,you turned back / away
‫لَوْ‬,if
‫لَقَدْ‬,verily
‫اِعْتَدَوْ‬,they transgressed / went beyond the limit
‫أَ َّ لسبْتُ‬‏,"Sabbath, Saturday"
‫قِرَدَةٌ‬,"apes, monkeys"
‫خَاسِئِيْنَ‬,"despised, rejected"
‫نَكَالاً‬,"deterrent, example"
‫بَيَْن يَدَيْ‬,"before them, in their presence"
‫خلْف‬,"succeeding, behind"
‫مَوْعِظْةٌ‬,"lesson, admonition"
‫يَأْمُرُ‬,"commands, orders"
‫أَنْ‬,that
‫بَقَرَةٌ‬,cow
‫هُزُوًا‬,to make fun
‫أَعُوْذُ‬,I take refuge
‫اُدْعُ‬,"beseech, call upon, pray"
‫يُبَِّ ينْ‬,make clear
‫مَاهِىَ‬,what she likes
‫يَقُوْلُ‬,says
‫لَا فَارِضٌ‬,not old aged
‫بِكْرٌ‬,too young
‫عَوَانٌ‬,"between, middle"
‫اِفْعَلُوْا‬,"do, act, perform"
‫مَا‬,"that which, whatever"
‫تُؤْمَرُوْنَ‬,you are commanded
‫لَوْنُهَا‬,her / its color
‫صَفْرَآءُ‬,yellow
‫فَاقِعٌ‬,bright
‫تَسُ  ُّر‬,"delights, gladdens"
‫نَاظِرِيْنَ‬,"onlookers, beholders"
‫تَشَابَهَ‬,"became dubious, resembling, ambiguous"
‫شآءَ‬,"willed, wished"
‫ذَلُوْلٌ‬,used for any sort of work
‫تُثِْيرُالْأَرْضَ‬,tills / ploughs the earth
‫تَسْقِيْ‬,waters (the field)
‫حَرْثٌ‬,"field, farm"
‫مُسََّ لمَةٌ‬,"without any defect, physically fit, (sound)"
‫لَا شِيََة‬,"without any scar, unblemished"
‫أَلآنَ‬,now
‫جِئْتَ‬,you came
‫مَا آَادُوْا‬,they almost did not
‫قَتَلْتُمْ‬,you killed
‫اَِّ دارَعْتُْم‬,you fell into a dispute
‫ُمخْرِجٌ‬,one who brings forth
‫تَكْتُمُوْنَ‬,you hide / conceal
‫بِبَعْضِهَا‬,with some of it
‫آَذالِكَ‬,"thus, in this way"
‫يُحْيِيْ‬,brings to life
‫مَوْتى‬,dead
‫يُرِيْكُمْ‬,shows you
‫آيَا ْت‬‏,signs
‫تَعْقِلُوْنَ‬,you understand
‫ثُ َّم‬,"then, thereafter"
‫قَسَتْ‬,Hardened
‫قَسَاوَةٌ‬,Hardened
‫قُلُوْ‬ب‬,hearts
قَلْبٌ,heart
‫فَ‬,thus
‫هِىَ‬,she
‫كَ‬,like
‫حِجَارَةٌ‬,"rocks, stones"
‫أَوْ‬,or
‫أَشَدُّ ‬,"worse, more severe"
