lan_a,lan_b
‫قَسْوَةٌ‬,hard
‫لَمَا‬,"for indeed, verily"
‫يَتَفَ َّ جرُ‬,"gushes out, bursts forth"
‫أَنْهَار‬,rivers
‫يُشََّ ق‬,splits asunder
‫يَهْبِطُ‬,falls down
‫خَشْيَةُ الَّ لهِ‬,fear of Allah
‫أَفَتَطْمَعُوْنَ‬,"do you then covet?, do you then have any hope?"
‫طَمَعَ‬,"desired, coveted"
‫أَنْ‬,that
‫قَدْ‬,surely
‫فَرِيْقٌ‬,"a group, a party"
‫يُحَ ِّ رفُوْنَ‬,they change / alter
‫عَقَلُوْا‬,they understand
‫لَقُوْا‬,they met
‫قَالُوْا‬,they said / spoke
‫خلَا‬,"was in privacy, got privacy,"
‫خَلْوَةٌ‬,privacy
‫تُحَِّ دثُوْنَ‬,you tell / narrate
‫بِمَا‬,that which
‫فَتَحَ‬,"revealed, disclosed, opened"
‫عَلَيْكُمْ‬,to / unto / on you
‫يُحآ ُّ جوْنَ‬,they argue / controverse
‫يُسِ ُّ روْنَ‬,they hide / conceal
‫سِرٌّ ‬,secret
‫أَسْرَار‬,secrets
‫يُعْلِنُوْنَ‬,they proclaim
‫أُ ِّ مُّ يوْنَ‬,illiterate/unlettered (people)
إِلَّا,except
‫أَمَانِيُّ ‬,"ambitiouns, desires"
‫وَيْلٌ‬,"woe, destruction, ruin"
‫يَكْتُبُوَْن‬,they write
‫أَيْدِيْهِمْ‬,their hands
‫ثَمَنًا‬,"price, cost, value"
‫يَكْسِبُوْنَ‬,they earn / gain
‫لَنْ‬,"not, never"
‫تَمَسَّ َنا‬,will touch us
‫أَّ يامًا‬,days
‫مَعْدُوْدَةً‬,a certain number
‫قُلْ‬,say
‫عَهْدٌ‬,"covenant, promise"
‫يُخْلِفُ‬,"will do against, will act contrary"
‫أَمْ‬,or
‫بَلى‬,"yes!, Why not!"
‫مَنْ‬,who
   كَسَبَ,"earned, gained"
‫سيِّئَة‬,"evil, wrong"
‫أَحَاطَتْ‬,"surrounded, encompassed"
‫خَطِيْئَةٌ‬,"error, mistake"
‫وَالِدَيْنِ‬,parents
‫ذِىْ القُرْبى‬,"relatives, kindred"
‫يَتَامى‬,orphans
‫مَسَاآِيْنُ‬,"poor, needy, miserable"
‫قُوْلُوْا‬,"say, speak"
‫حُسْنًا‬,"polite manner, fair"
‫أَقِيْمُوْا‬,establish
‫ءَاتَوُا‬,give
تَوَلَّيْتُمْ,you turned away
‫قَلِيْلًا‬,"few, very few"
‫مِنْكُمْ‬,amongst / of you
‫أَنْتُمْ‬,you
‫مُعْرِضُوْنَ‬,backsliders
‫دِيَارٌ‬,houses
‫أَقْرَرْتُمْ‬,you have ratified
‫تَشْهَدُوْنَ‬,you withness
‫هَؤُلَاءِ‬,these (folk / people)
تَظَاهَرُوْن,you support one another
‫إِثْمٌ‬,sin
‫عُدْوَانٌ‬,"transgression, to exceed the limits"
‫يَاْتُوْآُمْ‬,they come to you
‫أُسَارى‬,captives
‫تُفَادُوْ‬,you ransom
‫ُمحَ َّ رمٌ‬,"unlawful, forbidden"
‫فَمَا‬,so what
‫جَزَآُء‬,"recompense, reward"
‫مَنْ‬,"whosoever, who"
‫يَفْعَلُ‬,does
‫خِزُىٌ‬,disgrace
‫حَيوة‬,life
‫يُ َّ ردُوْنَ‬,they will be brought back
‫إِلى‬,"towards, to"
‫أَشَدِّ ‬,most severe
‫وَمَا‬,and no / nor
‫عَ َّ ما‬,of what
‫يُنْصَرُوْنَ‬,they will be helped
‫لَقَدْ‬,"verily, assuredly, no doubt"
‫ءَاتَيْنَا‬,we gave
قَفَّيْنَا,we followed up
‫اِبْنُ مَرْيَمْ‬,son of Mary
بَيِّنَات,clear (signs)
أَيَّدْنَا,we supported / strengthened
‫رُسُلْ‬,Messengers
رُوحُ ٱلْقُدُسِ,The Holy Spirit (the Angel Gabriel or Jibra'eel)
‫أَفَ‬,is then?
‫آَُّ لمَا‬,whenever
‫جَآءَ‬,came
رَسُوْل,Messenger
‫لَا تَهْوى‬,desired not
‫أَنْفُسُكُمْ‬,"yourselves, your hearts"
اِسْتَكْبَرْتُمْ,you became arrogant
‫فَرِيْقًا‬,"a group, a party"
‫تَقْتُلُوْنَ‬,you slay / kill
‫قَالُوْا‬,they said
‫قُلُوْب‬,hearts
‫غُلْفٌ‬,"wrapping, covering"
‫بَلْ‬,"may, but"
‫لَعَنَ‬,cursed
‫هُمْ‬,"them, they"
لَمَّا,when
‫مُصَدِّق ‬,that which confirms
‫لِمَا مَعَهُمْ‬,what was with them
يَسْتَفْتِحُوْنَ,they ask for victory
‫مَا عَرَفُوْا‬,which they recognised
بِئْسَمَا,evil is that which
‫اِشْتَرَوْا‬,they sold
‫أَنْ‬,that
‫يَكْفُرُوْا‬,"they disbelieve, reject faith"
‫بَغْيًا‬,"to rebel / revolt, insolence"
‫بَآعُوْا‬,they incurred / drew upon themselves
‫مُهِيْنٌ‬,"humiliating, disgraceful"
‫وَرَآءَ‬,"besides, after"
‫لِمَ‬,why?
‫أَنْبِيَاَء الَّلهِ‬,Prophets of Allah
‫عِجْلٌ‬,calf
‫رَفَعْنَا‬,we raised
‫فَوْقَ‬,"above, over"
‫طُوْر‬,name of a mountain
‫خُذُوْا‬,hold
‫بِقُ َّ وةٍ‬,"firmly, with strength"
‫وَاسْمَعُوْا‬,and listen
‫عَصَيْنَا‬,we disobeyed / denied
‫أُشْرِبُوْا‬,"they were filled of, (they were made to drink)"
‫يَأْمُرُ‬,gives command
‫إِنْ آَانَتْ‬,if it is
‫الَّ دارُ الْآخِرَةُ‬,home of the Hereafter
‫عِنْدَالَّلهِ‬,with Allah
‫خَالِصَةً‬,"exclusively, specially"
مِنْ دُوْنِ النَّاس,not for others of mankind
‫أَبَدًا‬,"always, ever, forever, eternal"
قَدَّمَت,sent before
‫أَيْدِيْهِمْ‬,their hands
‫عَلِيْمٌ‬,"Aware, Knower"
‫لَتَجِدَنَّ ‬,"you will indeed find,"
‫أَحْرَصَ‬,most greedy
‫حَيوة‬,life
‫أَشْرَآُوْا‬,they associated (partners with Allah)
‫يَوَدُّ ‬,"wishes, desires"
‫أَحَدُهُمْ‬,each one / everyone of them
‫لَوْ‬,if
‫يُعَ َّ مرُ‬,"is allowed to live, given life"
‫أَلْفَ‬,one thousand
‫سَنَة‬,year
مَا هُو,not that / it
‫مُزَحْزِحٌ‬,"one who can save, remover"
‫بَصِيْرٌ‬,"beholder, one who sees"
‫عَدُ ٌّ و‬,enemy
‫إِذْنٌ‬,"leave, permission"
‫بُشْرَى‬,glad tidings
‫جِبْرِيْلَ‬,the Angel Jibra' eel (Gabriel) (A.H)
‫مِيْكَالَ‬,the Angle Mekaal (Michael) (A.H)
‫فَاسِقُوْنَ‬,those who rebel against Allah's commands
‫نَبَذَ‬,"threw away, cast aside"
‫أُوْتُوْا‬,they were given
‫وَرَآءَ‬,behind
‫ظُهُورْ‬,backs
‫خَلَاقٌ‬,"portion, share"
‫لَبِئْسَ‬,surely it is evil
‫شَرَوْا‬,they sold
أَنَّهُمْ,that they
‫مَثُوْبَةٌ‬,"recompense, reward"
‫خَيْرٌ‬,better
‫رَاعِنَا‬,"attend to us, listen to us"
‫أُنْظُرْنَا‬,"look upon us (above two Arabic words have similar meanings. But the Jews, by
twisting their tongues, linger the first word which means our herdsman. Therefore,
muslims were forbidden to use this word and advise to use second word.)"
‫مَا يَوَدُّ ‬,doesn't like/ love / wish
‫يَخْتَصُّ ‬,chooses
‫مَنْ َّ يشَآءُ‬,whom (He) wills
‫ذُوالْفَضْلِ‬,of bounty / grace
‫عَظِيْمٌ‬,"great, infinte"
‫نَنْسَخْ‬,we abrogate
‫أَوْ‬,or
‫نَأْ ِت‬‏,we bring
‫أَلَمْ‬,do (you) not
‫تَعْلَمْ‬,you know
دُوْنِ اللَّهِ,besides Allah
‫وَلِيٌّ ‬,"patron, friend"
‫نَصِيْرٌ‬,helper
‫أَمْ تُرِيْدُوْنَ‬,do you desire / intend?
‫تَسْئَلُوْا‬,you question
كَمَا,as
‫سُئِلَ‬,was questioned
يَتَبَدَّلُ,exchanges
‫سَوآءَ ال َّ سبِيْل‬,"plain road, even way"
‫وَدَّ ‬,"desired, wished, longed"
كَثِيْرٌ,many
‫لَوْ‬,"that, if"
تَبَيَّنَ,"became manifest, evident"
‫عَفْوٌ‬,to forgive / pardon / excuse
‫صَفْحٌ‬,"to look over, to pass over"
‫يَاتِيْ‬,"brings about, sends"
‫أَمْرٌ‬,"command, order"
تُقَدِّمُوْا,you send forth
‫تَجِدُوْا‬,you will find
‫عِنْدَ‬,with
‫تِلْ َك‬‏,"these (actual meaning is ""that"")"
‫أَ مَانِيُّهُمْ,their desires
‫هَاتُوْا‬,"brings about, sends"
‫بُرْهَانٌ‬,"proof, evidence"
‫بَلى‬,"nay, why not"
‫أَسْلَمَ‬,"surrendered, submitted"
‫وَجْهَهُ‬,"his face, himself"
‫ُمُحْسِنٌ‬,one who does good
‫أَجْرٌ‬,"reward, remuneration, wage"
‫حُزُنٌ‬,"grief, sadness, sorrow, gloom"
‫قَالَتِ الْيَهُوْدُ‬,the Jews said
‫لَيْسَتْ‬,not
‫آَذَلِك‬‬,likewise
‫أَظْلَمُ‬,"greater wrong-doer, more unjust"
‫مَنَعَ‬,"forbade, prevented"
مَسَاجِد,mosques
‫يُذْآَرُ‬,being mentioned
‫سَعى‬,strived
‫خَرَاب‬,ruin
‫دَخَلَ‬,to enter
‫خَآئِفِيْنَ‬,those who fear
‫خِزْىٌ‬,disgrace
‫أَيْنَمَا‬,"whithersoever, wherever"
تُوَلُّوْا,you turn
‫ثُ َّم‬,there
‫وَجْهُ الَّلهِ‬,face of Allah
‫وَلَدًا‬,son
‫سُبْحَانَُه‬,"be He Glorified, Glory be to Him"
‫قَانِتٌ‬,one who renders worship to Allah
‫بَدِيْعٌ‬,"The Originator, Innovator"
‫إِذَا‬,when
‫قَضى‬,decreed
‫أَمْرً‬,matter
‫آُنْ‬,be
‫يَكُوْنُ‬,it becomes
‫لَوْ لَا‬,why (does) not
‫تَشَابَهَتْ‬,"similar, alike, resembling"
‫بَيَّ َّ نا‬,we have made clear
‫بَشِيْر‬,one who gives good tidings
‫نَذِيْرٌ‬,warner
‫لَا تُسْئَلُ‬,you will not be asked
‫أَصْحَابُ الْجَحِيْم‬,inmates of the Hell
‫لَنْ‬,never
‫تَرَْضى‬,will be pleased / satisfied
‫عَنْكَ‬,with you
حَتَّى,unless
تَتَّبِعَ,you follow
‫أَهْوَآءٌ‬,desires
‫جَآءَكَ‬,came unto thee
‫مَا لَكَ‬,you have no
‫عَدْلٌ‬,compensation
‫اِبْتَلى‬,tried
‫أَتَمَّ ‬,fulfilled
‫جَاعِلٌ‬,maker
‫إِمَامًا‬,"leader, Imam"
‫ذُ ِّ رَّ يةٌ‬,"offspring, progeny"
‫لَايَنَالُ‬,shall not reach
‫عَهْدٌ‬,"covenant, promise"
‫جَعَلْنَا‬,we made
‫مَثَابَةً‬,a place of resort / assemble
اِتَّخَذُوْا,"take, adopt"
مَقَامُ إِبْرَاهِيْمَ,place where Prophet Ibrahim (AH) stood
‫مُصَلّى‬,place of worship (prayer)
‫طَ ِّ هرَا‬,"purify, clean"
‫طَآئِفِيْنَ‬,those who go round (the Ka'ba)
‫عَاآِفِيْنَ‬,those who stay (at mosques for worship
أَمْنًا,"peace, security"
‫اُرْزُقْ‬,provide
‫أَهْلُ‬,people of
‫أَضْطَرُّ ‬,I shall compel / coerce
‫رَفَعَ‬,raised
‫قَوَاعِدَ‬,foundations
تَقَبَّل,accept
‫أُ َّ مةٌ‬,"group of people, (community)"
‫أَرِنَا‬,show us
‫مَنَاسِكَ‬,"ways of worship, rites"
‫تُبْ‬,"relent, turn (in mercy), accept (our repentence)"
‫ابْعَثْ‬,raise up
‫الْحِكْمَةُ‬,wisdom
‫يُزَ ِّ آيْ‬,"purifies, makes them grow"
‫رَغِبَ عَنْ‬,turned away
‫رَغَبَ إِلى‬,turned towards
‫سَفِهَ‬,be fooled
‫اِصْطَفَيْنَا‬,we chose
‫أَسْلِمْ‬,"surrender, submit"
‫وَ َّ صى‬‏,enjoined
‫بَنِيْ‬,sons
‫يا بَنيَّ ‬,O my sons
‫إِذْحَضَرَ‬,when (it) came
‫إِلهٌ‬,God
‫َابَاءَ‬,fathers
‫خَلَتْ‬,passed away
‫عَ َّ ما‬,of what
‫تَهْتَدُوْا‬,you will be rightly guided
‫حَنِيْفًا‬,the upright
‫الْأَسْبَاط‬,"tribes, descendants"
‫أُوْتِىَ‬,was / were given
نَبِيُّوْنَ,Prophets
‫بَيْنَ‬,between
‫اَحَدٍ‬,anyone
تَوَلَّوْا,they turned away
‫شِقَاقٌ‬,"schism, split, dissension"
‫فَ‬,"so, then"
‫سَ‬,"shortly, in near future"
‫يَكْفِيْ‬,suffices
‫كَ‬,"you, your"
‫يَكْفِيْكَهُمُ الَّلهُ‬,Allah will suffice you in defense against them
‫صِبْغَةٌ‬,"color, dye"
‫مَنْ‬,who
‫أَحْسَنَ‬,better
‫عَابِدُوْنَ‬,worshippers
‫فِي الَّله‬,"concerning Allah, regarding Allah"
مُخْلِصُوْنَ,sincere (worshippers)
‫اَعْلَمُ‬,know better
‫آَتَمَ‬,concealed
‫شَهَادَةٌ‬,testimony
‫سَ‬,"now, near, in near future"
مَا وَلَّهُمْ,what has turned them
‫قِبْلَةَ‬,place towards which one faces while praying
‫آَذالِكَ‬,thus
‫مَا جَعَلْنَا‬,we did not appoint / made
‫مِ َّ منْ‬,who
‫يَنْقَلِبُ‬,turns away
‫عَقِبٌ‬,heel
‫عَقِبَيْهِ‬,his two heels
‫إِنْ آَانَتْ‬,though it was
‫لَ‬,verily
‫آَبِيْرَةٌ‬,"momentous, grievous"
‫يَضِيْعُ‬,lets (it) go waste
رَؤُوْف,full of kindness
‫قَدْ‬,assuredly
‫نَرَى‬,we see
‫تَقَلُّ  َب‬‏,turning
‫وَجْهَكَ‬,your face
فَلَنُوَلِّيَنَّك,"now, we shall turn you"
‫فَ‬,so
‫لَ‬,verily
‫أَنَّ ‬,"surely, verily"
‫وَلِّ ‬,turn
‫شَطْرَ‬,towards
‫الْمَسْجِدِ الْحَرَامِ‬,the sacred mosque (the mosque containing Ka'bah)
‫حَيْثُ‬,"wherever, wheresoever"
‫أُوْتُوْا الْكِتَاب‬‬,were given the Book (scripture)
‫مَا‬,"not (The meaing of this word depends upon the context. It is used as (1) an
interrogative pronoun: what , why; (2) a relative pronoun: that, which, whatever, all
that, (3) negation: not; and (4) conjunction: as long as, whenever, as far as, etc.)."
‫لَئِنْ‬,even if
‫أَتَيْتَ‬,you brought
‫يَعْرِفُوْنَ‬,they recognize
‫أَبْنَآءُ‬,sons
‫آَتَمَ‬,concealed
‫ُممْتَرِيْنَ‬,"doubters, (those who) waver"
‫وِجْهَةٌ‬,"direction, goal"
‫مُوَلِّي‬ي‬ ‬,one who turns
‫اِ ْستَبِقُوْا‬‏,"compete, vie with one another"
‫خَيْرَاتْ‬,"good deeds, works"
‫أَيْنَمَا‬,"wheresoever, wherever"
‫وَلِّ ‬,turn
‫حُ َّ جةٌ‬,argument
‫أُتِ ُّم‬,I (may) complete
‫لَعَ َّ ل‬,"may, might"
‫تَهْتَدُوْنَ‬,you are / will be rightly guided
‫آَمَا‬,"even as, similarly"
‫أَرْسَلْنَا‬,we (have) sent
‫فِيْكُْم‬,among you
‫يَتْلُوْا‬,recites
‫ذِآْرٌ‬,remembrance
‫شُكْرٌ‬,"thanksgiving, gratitude"
‫مَعَ‬,with
‫سَبِيْلِ الَّله‬,way / path of Allah
‫أَمْوَات‬,dead
‫أَحْيَآءٌ‬,"living, alive"
‫نَبْلُوْا‬,we shall try / test
‫جُوْعٌ‬,hunger
‫نَقْضٌ‬,loss
‫أَمْوَالٌ‬,"wealth, worldly goods"
‫ثَمَرَاتٌ‬,"fruits, crops"
‫أَصَابَتْ‬,"struck, befall"
‫مُصِيْبَةٌ‬,"misfortune, calamity"
‫صَلَوَاتٌ‬,blessings
‫صَفَا وَ مَرْوَة‬,names of two mountains in makkah near Ka'bah
‫شَعَآئِرْ‬,"symbols, signs"
‫حَجَّ ‬,performed Hajj (the pilgrimage)
‫إِعْتَمَرَ‬,"perfomed Umrah (visited makkah to perform the pilgrimage in a period other than
that of Hajj)"
‫جُنَاٌح‬,"sin, wrong"
‫تَطَ َّ وعَ‬,did (more) good on his own accord
‫شَاآٌِر‬,"responsive to gratitude, bountiful in rewarding"
‫عَلِيْمٌ‬,"aware, all knowing"
‫أَجْمَعِيْنَ‬,"combined, all"
‫خَ َّ خفَ‬,lightened
‫يُنْظَرُوَْن‬,they will be reprieved / granted respite
‫خَلْقٌ‬,"creation, to creat"
‫اِخْتِلَا ْف‬‏,"difference, alternation"
‫لَيْلَ‬,night
‫نَهَارٌ‬,day
‫فُلْكٌ‬,ship
‫تَجْرِيْ‬,"runs, sails"
‫بَحْرٌ‬,sea
‫بَثَّ ‬,"spread, dispersed, scattered"
‫دَآَّ بةٌ‬,"moving creatures, beasts"
‫تَصْرِيْفٌ‬,veering
‫رِيَاحُ‬,winds
‫سَحَابْ‬,clouds
‫مُسَ َّ خرٌ‬,that which is made subservient
‫بَيْنَ‬,between
‫دُوِْن الَّلهِ‬,besides Allah
‫أَنْدَادًا‬,"compeers, equals"
‫حُبٌّ ‬,love
‫أَشَدُّ ‬,"stronger, strauncher"
‫تَبَ َّ رأَ‬,"disowned, cleared oneself, exonerated"
‫اَّ تبِعُوْا‬,those who were followed
‫اَّ تبَعُوْا‬,they followed
‫تَقَ َّ طعَ‬‏,"cut off, cut asunder"
‫أَسْبَابْ‬,"aims, ties, relations, means"
‫لَْو أَنَّ  لَنَا‬,"if it were for us, would that be for us"
‫آَ َّ رةً‬,(second / more) chance
‫حَسَرَاتْ‬,intense regrets
‫َخارِجِيْنَ‬,those who come out
‫نَار‬,"fire, hell fire"
‫طَِّ يبًا‬,"wholesome, good"
‫خُطُوَات‬,footsteps
‫سُوْءٌ‬,evil
‫فَحْشَآءْ‬,"indecent, shameful"
‫أَلْفَيْنَا‬,we found
‫أَوَلَوْ‬,what even though
‫نَعْقٌ‬,to shout
‫دُعَآءٌ‬,to call
‫نِدَآءٌ‬,to cry
‫إَِّ ياهُ‬,(to) him only / alone
‫حَ َّ رمَ‬,"forbade, made unlawful"
‫مَيْتَةٌ‬,"carrion, dead"
‫دٌَم‬,blood
‫لَحْمٌ‬,"meat, flesh"
‫ِخنْزِيْرٌ‬,"swine, pig"
‫أُِ  َّهل‬,"on which a name is invoked, consecrated"
‫أُضْطَُرَّ ‬,is driven / forced by necessity
‫بَاغٍ‬,disobedient
‫عَادٍ‬,transgressing
‫أِثْمٌ‬,"sin, guilt"
‫بُطُوْنٌ‬,bellies
‫فَمَا أَصْبَرَهُمْ‬,Then how constant are they? / How daring are they?
‫شِقَاقٌ‬,schism
‫بَعِيْدٌ‬,far
‫لَيْسَ‬,(it is) not
‫بِرٌّ ‬,"righteousness, piety"
‫قِبَلَ‬,towards
‫أَتَى‬,gave
‫ذَوِى الْقُرْبى‬,"kinsfolk, kindred relations, those who are near"
‫يَتَامى‬,orphans
‫مَسَاآِيْنَ‬,"needy, poor"
‫اِبْنُ ال َّ سبِيْلِ‬,wayfarers
‫سَآئِلِيْنَ‬,"those who ask, beggars"
‫رِقَابْ‬,"slaves, (necks of slaves), those in bondage"
‫مُوْفُوْنَ‬,those who kepp/fulfil (promise)
‫بَأْسَآءٌ‬,"suffering, tribulation"
‫ضَ َّ رآءُ‬,"adversity, hardship"
‫حِيْنَ الْبَأْسِ‬,time of stress / panic
‫صَدَقُوْا‬,sincere / true
‫مَُّ تقُوْنَ‬,"God-conscious, God-fearing"
‫آُتِبَ‬,"is prescribed, ordained"
‫قِصَاصٌ‬,"retaliation, just retribution, law of equality"
‫قَتْلى‬,"murdered, slain"
‫الْحُ  ُّر‬,the free man
‫عَبْدُ‬,slave
‫أُنْثى‬,female
‫َ‫عُفِ‬ى‬,is forgiven / pardoned
‫أَخِيْهِ‬,his brother
‫إِِّ تبَاعٌ‬,"to follow, to adhere"
‫مَعْرُوْفٌ‬,"according to usage, fair"
‫أَدَآءٌ‬,"payment, compensations"
‫إِحْسَانٌ‬,"kindness, goodly manner"
‫تَخْفِيْفٌ‬,"alleviation, concession, act of making light"
‫اعْتَدَى‬,"transgressed, exceeded the limit"
‫حَيوةٌ‬,life
‫أُولِي الْأَلْبَابِ‬,those (men) of understanding or insight
‫حَضََر‬,approached
‫تَرَكَ‬,left (behind)
‫خَيْرٌ‬,"wealth, goods"
‫وَصَِّ يةٌ‬,"to make bequest, will"
‫سَمِعَ‬,"heard, listened"
‫إِثْمٌ‬,"sin, guilt"
‫خَافَ‬,"feared, apprehended"
‫مُوْصٍ‬,testator
‫جَنَفًا‬,"unjust, mistake, partiality"
