#,Word,Meaning
1,‫عَوٌْذ‬,"to take refuge, to take protection"
2,‫أَعُوْذُ‬,"I take refuge, I take protection"
3,‫بِ‬,"of, with, by, in"
4,‫مِنْ‬,"from, of, some of, since, then"
5,‫رَجِيْمٌ‬,"stoned, cursed, damned"
6,‫اِسْمٌ‬,"name, noun"
7,‫اَ َّ لرحْمَنُ‬‏,"Beneficent, Compassionate"
8,‫اَل َّ رحِيْمٌ‬,"merciful, Compassionate"
9,‫اَلْحَمُْد‬,"the praise, thanks, commend, admire"
10,‫لِ‬,"for, because of, due to, for the sake of"
11,‫رَبِّ  الْعَالَمِيْنَ‬,"Sustainer of the worlds, Lord of the worlds/creatures"
12,‫مَالِكِ‬,"owner, king, master"
13,‫يَوْمَ‬,day
14,‫اَلِّ ديْن‬,"judgment, religion, faith, creed"
15,‫إَِّ ياكَ‬,Thee alone
16,‫نَعْبُدُ‬,we worship
17,‫َو‬,and
18,‫نَسْتَعِيْنُ‬,"we ask for help, assistance, support"
19,‫اِسْتَعَانَ‬,"to ask for help, succor, support"
20,‫اِهْدِ‬,"guide, direct, lead on right course or way, show the way, make aware"
21,‫نَا‬,"us, our, ours"
22,‫صِراطَ‬,"path, way course"
23,‫مُسْتَقِيْمٌ‬,"straight, upright, erect, correct, righteous honest"
24,‫اََّ لذِيْنَ‬,"those, who"
25,‫أَنْعَمْتَ‬,"you have favored, you bestowed grace"
26,‫عَلَيْهِمْ‬,"unto them, upon them"
27,‫غَيْر‬,other than
28,مَغْضُوْبٌ,those who earned wrath
29,‫لَا‬,"not, no, do not, don't"
30,‫اَل َّ ضآِّ ليَْن‬‏,"who go astray, who lose the way"
32,‫ذالِكَ‬,"this, that"
33,‫لَارَيْبَ‬,"no doubt, no suspicion"
34,‫فِيْهِ‬,"in this, in, at, on, within"
35,‫مَُّ تقِيَْن‬,"those who ward off evil, pious, God-fearing"
36,‫يُؤْمِنُوْنَ‬,they believe
37,‫غَيْبُ‬,"unseen, secret, invisible"
38,‫َو‬,"and, and also"
39,‫يُقيْمُوْنَ‬,"they establish, they are steadfast"
40,‫ال َّ ّصلَاةُ‬‏,prayer
41,‫مِ َّ ما‬,"of that, from that"
42,‫رَزَقْنَا‬,"we have provided, bestowed, blessed, endowed with livelihood"
43,‫نَا‬,"we, us, our"
44,‫هُمْ‬,"them, they, their"
45,‫يُنْفِقُوْنَ‬,they spend / distribute
46,‫بِمَا‬,"which, with"
47,‫أُنْزِلَ‬,"revealed, sent down"
48,‫إِلَيْكَ‬,unto thee
49,‫مَا‬,"which, whatever"
50,‫قَبْلِكَ‬,before thee
51,‫ءاخِرَةٌ‬,"life after death, hereafter, life to come"
52,‫يُوْقِنُوْنَ‬,"they are certain of, sure, affirm"
53,‫اُوْلآئِكَ‬,those / (these) people
54,‫عَلى‬,"on, upon, above"
55,‫هُدًى‬,guidance
56,‫مُفْلِحُوْنَ‬,successful
57,‫إِنَّ ‬,"certainly, undoubtedly, doubtless"
58,‫آَفَرُوْا‬,"they disbelieved, they rejected"
59,‫سَوَآءٌ‬,"equal, all the same"
60,‫ءَ‬,whether (sign of interrogation)
61,‫أَنْذَرْتَ‬,you warned / frightened
62,‫أَمْ‬,or
63,‫لَمْ‬,not
64,‫لَا يُؤْمِنُوْنَ‬,they do / will not believe
65,‫خَتَمَ‬,"sealed, closed, concluded"
66,‫قُلُوْ‬ب‬,hearts
67,‫سَمْعِهِمْ‬,their ears / hearing
68,‫أَبْصَارٌ‬,"eye-sight, eyes"
69,‫غِشَاوَةٌ‬,"covering, dimness"
70,‫وَلَهُمْ‬,and for them
71,‫عَذَابٌ‬,"punishment, torment"
72,‫عَظِيْمٌ‬,Great
73,‫اَلَّ ناسُ‬,the men / mankind / people
74,‫مَنْ‬,who
75,‫يَقُوْلُ‬,he says / speaks / tells
76,‫ءَامََّ نا‬,"we believe, we have faith"
77,‫مَالَهُمْ‬,they are not
78,‫يُخَادِعُوْنَ‬,"they beguile, they deceive"
79,‫إَِّ لا‬,"but, except"
80,‫أَنْفُسَهُمْ‬,their person / soul
81,‫مايَشْعُرُوْنَ‬,they don't perceive / realize
82,‫مَرَضٌ‬,"disease, illness, sickness"
83,‫فَ‬,"therefore, then"
84,‫زَادَ‬,increased
85,‫أَلِيْمٌ‬,painful
86,‫بِمَا‬,because
87,‫آَانُوْا‬,they were
88,‫يكْذِبُوْنَ‬,they tell a lie
89,‫إذَا‬,"when, whenever"
90,‫قِيْلَ‬,is said / told
91,‫لَهُمْ‬,unto them
92,‫لَاتُفْسِدُوْا‬,"make not mischief, act not wickedly / corruptly"
93,‫فِي الْأَرْ ِض‬‏,on the earth
94,‫قَالُوْا‬,they said
95,‫إنَّ َما‬,"only, infact, verily"
96,‫نَحْنُ‬,we
97,‫ُمصْلِحُوَْن‬,"those who put things right, reformers"
98,‫أَلَا‬,"be aware, be careful, better understand"
99,‫مُفْسِدُوْنَ‬,"mischievous, persons, disturbance creators"
100,‫لاآِنْ‬,but
101,‫ءَامُِنوْا‬,"believe, become faithful"
102,‫آَمَا‬,"like, as, alike"
103,‫أَ‬,what (sign of interrogation)
104,‫سُفَهآُء‬,foolish/insolent/stupid persons
105,‫لَقُوْا‬,they met
106,‫ءَامََّ نا‬,we believed / became faithful
107,‫خَلَوْا‬,"they went in loneliness, secluded in privacy, they are alone"
108,‫شَيَاطِيْن‬,"devils, devil type behavior"
109,‫مُسْتَهْزِءُوْنَ‬,"those who scoff, sneer or laugh"
110,‫يَُ ُّمد‬,"grants leave, gives respite"
111,‫طُغْيَانْ‬,"contumacy, wickedness"
112,‫يَعْمَهُوَْن‬,they wander blindly in confusion
113,‫اِشْتَرَوْا‬,they purchased / bartered
114,‫ضَلَالٌَة‬,"deception, straying"
115,‫هُدى‬,"guidance, right way"
116,‫فَمَا‬,so (it did) not
117,‫رَبِحَتْ‬,"profited, benefited"
118,‫مَارَبِحَتْ‬,did not profit
119,‫تِجَارَةٌ‬,"commerce, trade, trafficking"
120,‫مُهْتَدِيَْن‬,rightly directed or guided persons
121,‫مَثَلٌ‬,example
122,‫كَ‬,"as, like"
123,‫اَّ لذِيْ‬,one who
124,‫اِسْتَوْقََد‬,"kindled, lighted"
125,‫نَارٌ‬,fire
126,‫فَلَ َّ ما‬,when
127,‫أَضَآءَتْ‬,lighted
128,‫حَوْلَهُ‬,"around him, his surroundings"
129,‫ذَهَبَ‬,"took away, carried off"
130,‫تَرَكَ‬,"left, abandoned"
131,‫فِىْ‬,"in, in between"
132,‫ظُلُمَاتٌ‬,"darkness, gloom"
133,‫لَا يُبْصِرُوْنَ‬,they do not see
134,‫صُمٌّ ‬,deaf
135,‫بُكْمٌ‬,dumb
136,‫عُمْىٌ‬,blind
137,‫فَهُمْ‬,therefore they
138,‫لَايَرْجِعُوْنَ‬,they do / will not return
139,‫أَوْ‬,or
140,‫كَ‬,like
141,‫صَِّ يبٌ‬,"rain-laden cloud, rainy storm"
142,‫سَمَآءُ‬,sky
143,‫رَعْدٌ‬,thunder
144,‫بَرْقٌ‬,lightening
145,‫يَجْعَلُوْنَ‬,they thrust/put/place
146,‫أَصَابِعْ‬,fingers
147,‫ااذَاٌن‬,ears
148,‫صَوَاعِقُ‬,thunderclaps
149,‫حَذَرٌ‬,"fear, danger"
150,‫مَوْتٌ‬,death
151,‫مُحِيْطٌ‬,"one who surrounds, encompasses"
152,‫يَكَادُ‬,"almost, nearly"
153,‫يَخْطَفُ‬,snatches / takes away
154,‫آَُّ لمَا‬,"as often, whenever"
155,‫مَشَوْا‬,they walked
156,‫إذَا‬,when
157,‫أَظْلَمَ‬,became dark
158,‫قَامُوْا‬,they stood still
159,‫لَوْ‬,if
160,‫شَآءَ‬,"willed, wished"
161,‫آُ  ِّل شَيٍْء‬,everything
162,‫قَدِيْرٌ‬,"omnipotent, command, capable, skillful"
163,‫يآأَُّ يهَا الَّ ناسُ‬,O! mankind
164,‫اُعْبُدُوْا‬,worship
165,‫رَبَّ ‬,"Sustainer, lord, Provider"
166,‫آُمْ‬,your
167,‫أََّ لذِيْ‬,one who
168,‫خَلَقَ‬,"created, molded, shaped"
169,‫لَعََّ لكُْم‬,so that you
170,‫تََّ تقُوْنَ‬,"you may ward off(evil), you become righteous/pious"
171,‫جَعَلَ‬,"created, made"
172,‫لَكُمْ‬,for you
173,‫أَرْضٌ‬,earth
174,‫فِرَاشًا‬,"couch, resting place, bed"
175,‫بِنَآءٌ‬,"canopy, covering"
176,‫أَنْزَلَ‬,"sent down, revealed"
177,‫مَآءٌ‬,water
178,‫أَخْرَجَ‬,brought forth
179,‫بِِه‬,"therewith, with it"
180,‫مِنْ‬,"of, by, from"
181,‫ثَمَرَاتْ‬,"fruits, gains, benefits"
182,‫فَلَاتَجْعَلُوْا‬,they do not set up / appoint
183,‫أَنْدَادًا‬,"partners, equivalent"
184,‫أَنْتُمْ‬,you
185,‫تَعْلَمُوْنَ‬,you know / are aware
186,‫إِنْ‬,if
187,‫آُنْتُمْ‬,you are / were
188,‫فِي‬,"in, within"
189,‫رَيْبٌ‬,"doubt, suspicion"
190,‫نَ َّ زلْنَا‬,we revealed
191,‫عَلى‬,"upon, on, unto"
192,‫عَبْدٌ‬,"slave, servant"
193,‫فَأُْتوْا‬,so produce / bring
194,‫سُوْرَةٌ‬,"Surah, a chapter of the Qur'aan"
195,‫مِثْلِهِ‬,"like it, similar to it / him"
196,‫وَادْعُوْا‬,and call
197,‫شُهَدَاءُ‬,witnesses
198,‫مِنْ دُوْنِ اللَّ ِه‬,apart from Allah
199,‫صَادِقِيَْن‬,those who are truthful
200,‫فَ‬,then
201,‫أِنْ‬,if
202,‫لَمْ‬,not
203,‫تَفْعَلُوْا‬,you can do
204,‫لَنْ‬,never
205,‫اََّ لتِيْ‬,"whose, that which"
206,‫وَقُوْدٌ‬,fuel
207,‫هَا‬,"its, her"
208,‫حِجَارَةٌ‬,stones
209,‫أُعَِّ دتْ‬,prepared
210,‫آَافِرِيْنَ‬,"disbelievers, those who reject faith"
211,‫بَ ِّ شرْ‬,give glad tidings
212,‫بَشَارَةٌ‬,good news
213,‫عَمِلُوْا‬,"they worked, did deeds"
214,‫صَالِحَات‬,righteous deeds
215,‫صَالِحُوْنَ‬,righteous persons
216,‫أَنَّ ‬,that
217,‫لَهُمْ‬,for them
218,‫جََّ ناتٍ‬,gardens
219,‫تَجْرِيْ‬,flows
220,‫تَحْتَ‬,"underneath, under"
221,‫أَنْهَارٌ‬,rivers
222,‫آَُّ لمَا‬,whenever
223,‫رُزِقُوْا‬,they are provided with
224,‫ثَمَرَةٌ‬,fruit
225,‫هَذَا‬,this
226,‫أُتُوْا‬,"are provided, are given"
227,‫مُتَشَابِهًا‬,"similar, similitude"
228,‫أَزُوَاجٌ‬,spouses
229,‫مُطَ َّ هرَةٌ‬,one who is purified
230,‫خَالِدُوَْن‬,abide forever
231,‫لَايَسْتَحْيِ‬,disdains not
232,يَضْرِبُ مَثَلاً,"uses a similitude, gives an example"
233,‫بَعُوْضَةٌ‬,"gnat, mosquito"
234,‫فَمَا فَوْقَهَا‬,or ought above it
235,‫فَأَ َّ ما‬,then as
236,‫أََّ نهُ‬,that it / he
237,‫حَقُّ ‬,truth
238,‫مَاذَا‬,what
239,‫أَرَادَ‬,"desired, wished, intended"
240,‫يُضِ  ُّل‬,leads astray
241,‫يَهْدِيْ‬,guides
242,‫آَثِيرْ‬,many
243,‫إَِّ لا‬,except
244,‫فَاسِقِيْنَ‬,transgressors
245,‫يَنْقُضُوْنَ‬,they break
246,‫عَهْد‬,covenant
247,‫مِنْ بَعْدِ‬,after it
248,‫مِيْثَاق‬,ratification (of covenant)
249,‫يَقْطَعُوْنَ‬,they cut off
250,‫أَمَرَ‬,commanded
251,‫يُوْصَلُ‬,be joined
252,‫خَاسِرُوْنَ‬,losers
253,‫آَيْفَ‬,how
254,‫أَمْوَاتًا‬,dead
255,‫فَأَحْيَاآُمْ‬,and (he) gave you life
256,‫ثُ َّم‬,then
257,‫تُرْجَعُوْنَ‬,you'll be returned
258,‫خَلَقَ‬,created
259,‫لَكُمْ‬,for you
260,‫ثَمَرَةٌ‬,fruit
335,‫حُزْنٌ‬,"grief, sorrow"
336,‫آَفَرُوْا‬,"they rejected faith, they disbelieved"
337,‫آََّ ذبُوْا‬,they belied
338,‫ءَايَاتِنَا‬,our signs
339,‫أَصْحَابُ الَّ نارِ‬,"companions of the fire, inhabitants of the fire"
340,‫يَا‬,O!
341,‫بَنِيْ اِسْرَآئِيْلَ‬,children of Israel
342,‫اذْآُرُوْا‬,"remember, recall, call to mind"
343,‫أَوْفُوْا‬,fulfill
344,‫عَهْد‬,"covenant, promise"
345,‫أُوْفِ‬,I (shall) fulfill
346,‫إَِّ يايَ‬,me alone
347,‫فَارْهَبُوْنِ‬,"and fear me, and have awe of me"
348,‫أَنْزَلُْت‬,I revealed / have sent down
349,‫مُصَِّ دقًا‬,that which confirms
350,‫لِمَا‬,(for) that which
351,‫مَعَكُمْ‬,with you
352,‫لَا تَكُوْنُوْا‬,"be not, do not become"
353,‫أَ َّ ولَ‬,"the first, prime"
354,‫لَا تَشْتَرُوْا‬,do not sell
355,‫اايَاتِْي‬,my signs
356,‫ثَمَنًا‬,price
357,‫قَلِيْلاً‬,"little, small"
358,‫لَاتَلْبِسُوْا‬,do not cover / confound
359,‫بَاطِل‬,falsehood
360,‫لَاتَكْتُمُوْا‬,"do not conceal, hide"
361,‫أَقِيْمُوْا‬,"perform, be steadfast in"
362,‫ارْآَعُوْا‬,"bow down, bend down"
363,‫رَاآِعِيْنَ‬,those that bow down
364,‫أَ‬,do? (what?)
365,‫تَاْمُرُوْنَ‬,you enjoin
366,‫بِرّ‬,"right conduct, peity, righteousness"
367,‫تَنْسَوْنَ‬,you forget
368,‫أَنْفُسَكُمْ‬,yourselves
369,‫تَتْلُوْنَ‬,you read / recite
370,‫أَفَلَا‬,will then (you) not
371,‫تَعْقِلُوْنَ‬,you understand / think
372,‫ْ‫اِ‬ستَعِيْنُوْا‬,seek help
373,‫لَكَبِيْرَةٌ‬,indead hard
374,‫خَاشِعِيْنَ‬,those who are humble
375,‫يَظُُّ نوْنَ‬,they bear in mind
376,‫أََّ نهُمْ‬,that they
377,‫مُلَاقُوْا‬,those who are going to meet
378,‫رَاجِعُوْنَ‬,those who return
379,‫أَِّ نيْ‬,that I
380,‫فَ َّ ضلْ‬‏‫ُت‬,"I preferred, I gave preference"
381,‫وَاَّ تقُوْا‬,and beware/guard
382,‫يوْمًا‬,day
383,‫لَاتَجْزِيْ‬,shall not avail
384,‫نَفْسٌ‬,soul
385,‫عَ ْن‬‏,"with regard to, about"
386,‫لَايُقْبَلُ‬,shall not be accepted
387,‫شَفَاعَةٌ‬,intercession
388,‫يُنْصَرُوْنَ‬,they shall be helped
389,‫لَا يُؤْخَذُ‬,shall not be taken
390,‫عَدْلٌ‬,compensation
391,‫نَ َّ جيْنَاآُمْ‬,we delivered you
392,‫االَ‬,"people, followers"
393,‫فِرْعَوْنَ‬,Pharaoh (A cruel king in the time of Prophet Moses (A.H.))
394,‫يَسُوْمُوْنَ‬,they afflict
395,‫سُوْءَ‬,evil
396,‫عَذَاب‬,"punishment, chastisement"
397,‫ذَبْحِ‬,to slaughter
398,‫أَبْنَآءَ‬,"sons, male-children"
399,‫يَسْتَحْيُوْنَ‬,they spare / let live
400,‫نِسَآء‬,women
401,‫وَفِيْ ذَلِكُمْ‬,"and therein, and in that"
402,‫بَلَآءٌ‬,trial
403,‫رَُّ بكُمْ‬,your Lord
404,‫عَظِيْمٌ‬,"tremendous, great"
405,‫إِذْ‬,when
406,‫فَرَقْنَا‬,We divided / seperated
407,‫بكُمْ‬,for you
408,‫بَحْرٌ‬,sea
409,‫أَغْرَقْنَا‬,we drowned
410,‫تَنْظُرُوَْن‬,you were seeing
411,‫وَاعَدْنَا‬,We promised
412,‫أَرْبَعِيْنَ‬,forty
413,‫لَيْلَة‬,night
414,‫ثُ َّم‬,then
415,‫اَِّ تخَذْتُمْ‬,you took
416,‫عِجْلٌ‬,calf
417,‫مِنْ بَعْدِِه‬,after him
418,‫ظَالِمُوْنَ‬,"evil doers, wrong doers"
419,‫عَفَوْنَا‬,We pardoned
420,‫مِنْ بَعْدِ ذَلِكَ‬,after that
421,‫فُرْقَا ْن‬‏,The Scripture to differentiate between right and wrong
422,‫تُوْبُوْا‬,turn (in repentance)
423,‫بَارِىٌ‬,"Maker, Creator"
424,‫حََّ تى‬,"till, until"
425,‫نَراى‬,we see
426,‫جَهْرَةً‬,"openly, manifestly"
427,‫صَاعِقَةٌ‬,"thunderbolt, thunder and lightning"
428,‫بَعْثٌ‬,raised up
429,‫ظََّ للْنَا‬,we gave shadow
430,‫غَمَاٌم‬,cloud
431,‫اَلْمَنُّ ‬,grains like those of coriander seeds
432,‫سَلْواى‬,quails
433,‫آُلُوْا‬,eat
434,‫طَِّ يبَا ِت‬‏,good things
435,‫ظَلَمُوْا‬,they wronged
436,‫لكِنْ‬,but
437,‫هَذِهِ‬,this
438,‫قَرْيَةٌ‬,"town, township"
439,‫حَيْثُ‬,wherever
440,‫شِئْتُمْ‬,you wished
441,‫رَغَدًا‬,plentifully
442,‫بَا ٌب‬‏,gate
443,‫سُ َّ جدًا‬,prostrating
444,‫قُوْلُوْا‬,say
445,‫حِ َّ طةٌ‬‏,forgiveness
446,‫نَغْفِرْ‬,we (will) forgive
447,‫خَطَايَاآُمْ‬,your faults/transgressions
448,‫سَ‬,"soon, in near future"
449,‫نَزِيْدُ‬,we will increase
450,‫مُحْسِنِيْنَ‬,those who do good
451,‫فَ‬,"but, then"
452,‫بََّ دلَ‬,"changed, substituted"
453,‫رِجْزًا‬,"wrath, plague, scourge"
454,‫يَفْسُقُوَْن‬,they infringe/transgress
455,‫اِسْتَسْقى‬,asked/prayed for water
456,‫اِضْرِبْ‬,strike
457,‫عَصَا‬,staff
458,‫حَجَرْ‬,"stone, rock"
459,‫اِنْفَجَرَ ْت‬‏,gushed forth
460,‫اِثْنَتَا عَشَرَةَ‬,twelve
461,‫عَيْنًا‬,"spring, fountain"
462,‫عُيُوْنٌ‬,"springs, fountains"
463,‫قَدْ‬,certainly
464,‫عَلِمَ‬,knew
465,‫آُ  ُّل‬,all
466,‫أُنَاسٌ‬,people
467,‫مَشْرَبٌ‬,"drinking place, place for water"
468,‫آُلُوْا‬,eat
469,‫اِشْرَبُوْا‬,drink
470,‫لَاتَعْثَوْا‬,don't act corruptly
471,‫طَعَامٌ‬,food
472,‫وَاحِدٌ‬,one
473,‫فَادْعُ‬,"thus call upon, pray"
474,‫لَنَا‬,for us
475,‫يُخْرُِج‬,brings forth
476,‫تُنْبِتُ‬,"grows, germinates"
477,‫بَقْلٌ‬,"herbs, vegetables"
478,‫قَِّ ثآٌء‬,cucumbers
479,‫فُوْمٌ‬,wheat
480,‫عَدَسٌ‬,"lentils, a kind of pulse"
481,‫بَصَلٌ‬,onions
482,‫تَسْتَبْدِلُوْنَ‬,you exchange
483,‫أَدْنى‬,lower (grade)
484,‫خَيْرٌ‬,good (better)
485,‫مِصٌْر‬,"big city, metropolis"
486,‫سَأَلْتُمْ‬,you demanded / asked
487,‫ضُرِبَتْ‬,(was) covered /struck/hit
488,‫ذَِّ لةٌ‬,"humiliation, abasement"
489,‫مَسْكَنَةٌ‬,poverty
490,‫بَآعُوْا‬,they made themselves entitled
491,‫يَقْتُلُوْنَ‬,they kill
492,‫نَِّ بيِيْنَ‬,prophets
493,‫عَصَوْا‬,they disobeyed
494,‫يَعْتَدُوْنَ‬,they transgress
495,‫هَادُوْا‬,they became Jews
496,‫نَصَارى‬,Christians
497,‫صَابِئِيْنَ‬,Sabians
498,‫يَوْمُ الاَخِرَةِ‬,the last day (of resurrection)
499,‫عَمِلَ‬,"worked, acted"
500,‫صَالًِحا‬,"righteous, good"
501,‫أَجْرُهُمْ‬,their reward / remuneration
502,‫عِنْدَرَبْ‬,with Lord
503,‫حَزِنَ‬,"grieved, became sad"
504,‫أَخَذْنَا‬,we took
505,‫مِيْثَاقٌ‬,"covenant, bond"
506,‫رَفَعْنَا‬,we raised
507,‫فَوْقَ‬,"over, above"
508,‫طُوْرٌ‬,name of a mountain
509,‫تَوََّ ليْتُمْ‬,you turned back / away
510,‫لَوْ‬,if
511,‫لَقَدْ‬,verily
512,‫اِعْتَدَوْ‬,they transgressed / went beyond the limit
513,‫أَ َّ لسبْتُ‬‏,"Sabbath, Saturday"
514,‫قِرَدَةٌ‬,"apes, monkeys"
515,‫خَاسِئِيْنَ‬,"despised, rejected"
516,‫نَكَالاً‬,"deterrent, example"
517,‫بَيَْن يَدَيْ‬,"before them, in their presence"
518,‫خلْف‬,"succeeding, behind"
519,‫مَوْعِظْةٌ‬,"lesson, admonition"
520,‫يَأْمُرُ‬,"commands, orders"
521,‫أَنْ‬,that
522,‫بَقَرَةٌ‬,cow
523,‫هُزُوًا‬,to make fun
524,‫أَعُوْذُ‬,I take refuge
525,‫اُدْعُ‬,"beseech, call upon, pray"
526,‫يُبَِّ ينْ‬,make clear
527,‫مَاهِىَ‬,what she likes
528,‫يَقُوْلُ‬,says
529,‫لَا فَارِضٌ‬,not old aged
530,‫بِكْرٌ‬,too young
531,‫عَوَانٌ‬,"between, middle"
532,‫اِفْعَلُوْا‬,"do, act, perform"
533,‫مَا‬,"that which, whatever"
534,‫تُؤْمَرُوْنَ‬,you are commanded
535,‫لَوْنُهَا‬,her / its color
536,‫صَفْرَآءُ‬,yellow
537,‫فَاقِعٌ‬,bright
538,‫تَسُ  ُّر‬,"delights, gladdens"
539,‫نَاظِرِيْنَ‬,"onlookers, beholders"
540,‫تَشَابَهَ‬,"became dubious, resembling, ambiguous"
541,‫شآءَ‬,"willed, wished"
542,‫ذَلُوْلٌ‬,used for any sort of work
543,‫تُثِْيرُالْأَرْضَ‬,tills / ploughs the earth
544,‫تَسْقِيْ‬,waters (the field)
545,‫حَرْثٌ‬,"field, farm"
546,‫مُسََّ لمَةٌ‬,"without any defect, physically fit, (sound)"
547,‫لَا شِيََة‬,"without any scar, unblemished"
548,‫أَلآنَ‬,now
549,‫جِئْتَ‬,you came
550,‫مَا آَادُوْا‬,they almost did not
551,‫قَتَلْتُمْ‬,you killed
552,‫اَِّ دارَعْتُْم‬,you fell into a dispute
553,‫ُمخْرِجٌ‬,one who brings forth
554,‫تَكْتُمُوْنَ‬,you hide / conceal
555,‫بِبَعْضِهَا‬,with some of it
556,‫آَذالِكَ‬,"thus, in this way"
557,‫يُحْيِيْ‬,brings to life
558,‫مَوْتى‬,dead
559,‫يُرِيْكُمْ‬,shows you
560,‫آيَا ْت‬‏,signs
561,‫تَعْقِلُوْنَ‬,you understand
562,‫ثُ َّم‬,"then, thereafter"
563,‫قَسَتْ‬,Hardened
564,‫قَسَاوَةٌ‬,Hardened
565,‫قُلُوْ‬ب‬,hearts
566,قَلْبٌ,heart
567,‫فَ‬,thus
568,‫هِىَ‬,she
569,‫كَ‬,like
570,‫حِجَارَةٌ‬,"rocks, stones"
571,‫أَوْ‬,or
572,‫أَشَدُّ ‬,"worse, more severe"
573,‫قَسْوَةٌ‬,hard
574,‫لَمَا‬,"for indeed, verily"
