index,arabic,english,,,,,,,,,,
1,ﻋَﻮْذٌ,"to take refuge, to take protection",,,,,,,,,,
2,أَﻋُﻮْذُ,"I take refuge, I take protection",,,,,,,,,,
3,بِ,"of, with, by, in",,,,,,,,,,
4,ﻣِﻦْ,"from,of, some of, since, then",,,,,,,,,,
5,رَﺟِﻴْﻢٌ,"stoned, cursed, damned",,,,,,,,,,
6,اِﺳْﻢٌ,"name, noun",,,,,,,,,,
7,اَﻟﺮﱠﺣْﻤَﻦُ,"Beneficent, Compassionate",,,,,,,,,,
8,اَﻟﺮﱠﺣِﻴْﻢٌ,"merciful, Compassionate",,,,,,,,,,
9,اَﻟْْﺤَﻤْﺪُ,"the praise, thanks, commend, admire",,,,,,,,,,
14,اَﻟﺪﱢﻳْﻦ,"judgment, religion, faith, creed",,,,,,,,,,
15,إِﻳﱠﺎكَ,Thee alone,,,,,,,,,,
16,ﻧَﻌْﺒُﺪُ,we worship,,,,,,,,,,
18,ﻧَﺴْﺘَﻌِﻴْﻦُ,"we ask for help, assistance, support",,,,,,,,,,
19,اِﺳْﺘَﻌَﺎنَ,"to ask for help, succor, support",,,,,,,,,,
22,ﺻِﺮاطَ,"path, way course",,,,,,,,,,
23,ﻣُﺴْﺘَﻘِﻴْﻢٌ,"straight, upright, erect, correct, righteous honest",,,,,,,,,,
24,اَﻟﱠﺬِﻳْﻦَ,"those, who",,,,,,,,,,
25,أَﻧْﻌَﻤْﺖَ,"you have favored, you bestowed grace",,,,,,,,,,
26,ﻋَﻠَﻴْﻬِﻢْ,"unto them, upon them",,,,,,,,,,
27,ﻏَﻴْﺮ,other than,,,,,,,,,,
28,ﻣَﻐْﻀُﻮْبٌ,those who earned wrath,,,,,,,,,,
29,"ﻟَﺎnot,","no, do not, don't",,,,,,,,,,
30,اَﻟﻀﱠﺂﻟﱢﻴْﻦَ,"who go astray, who lose the",,,,,,,,,,
32,ذاﻟِﻚَ,"this, that",,,,,,,,,,
33,ﻟَﺎرَﻳْﺐَ,"no doubt, no suspicion",,,,,,,,,,
34,ﻓِﻴْﻪِin,"this, in, at, on, within",,,,,,,,,,
35,ﻣُﺘﱠﻘِﻴْﻦَ,"those who ward off evil, pious,",,,,,,,,,,
36,ﻳُﺆْﻣِﻨُﻮْنَ,they believe,,,,,,,,,,
37,ﻏَﻴْﺐُ,"unseen, secret, invisible",,,,,,,,,,
38,"وَand,",and alsoVocabulary of the Holy Quran,,,,,,,,,,
39,ﻳُﻘﻴْﻤُﻮْنَ,"they establish, they are steadfast",,,,,,,,,,
40,اﻟﺼّﱠﻠَﺎةُ,prayer,,,,,,,,,,
41,ﻣِﻤﱠﺎof,"that, from that",,,,,,,,,,
42,رَزَﻗْﻨَﺎ,"we have provided, bestowed, blessed, endowed",,,,,,,,,,
43,"ﻧَﺎwe,","us, our",,,,,,,,,,
45,ﻳُﻨْﻔِﻘُﻮْنَ,they spend / distribute,,,,,,,,,,
47,أُﻧْﺰِلَ,"revealed, sent down",,,,,,,,,,
48,إِﻟَﻴْﻚَ,unto thee,,,,,,,,,,
50,ﻗَﺒْﻠِﻚَ,before thee,,,,,,,,,,
51,ءاﺧِﺮَةٌ,"life after death, hereafter, life to",,,,,,,,,,
52,ﻳُﻮْﻗِﻨُﻮْنَ,"they are certain of, sure, affirm",,,,,,,,,,
53,اُوْﻵﺋِﻚَ,those / (these) people,,,,,,,,,,
54,ﻋَﻠﻰ,"on, upon, above",,,,,,,,,,
55,هُﺪًى,guidance,,,,,,,,,,
56,ﻣُﻔْﻠِﺤُﻮْنَ,successful,,,,,,,,,,
58,آَﻔَﺮُوْا,"they disbelieved, they rejected",,,,,,,,,,
59,ﺳَﻮَﺁءٌ,"equal, all the same",,,,,,,,,,
61,أَﻧْﺬَرْتَ,you warned / frightened,,,,,,,,,,
65,ﺧَﺘَﻢَ,"sealed, closed, concluded",,,,,,,,,,
66,ﻗُﻠُﻮْبٌ,hearts,,,,,,,,,,
67,ﺳَﻤْﻌِﻬِﻢْ,their ears / hearing,,,,,,,,,,
68,أَﺑْﺼَﺎرٌ,"eye-sight, eyes",,,,,,,,,,
69,ﻏِﺸَﺎوَةٌ,"covering, dimness",,,,,,,,,,
70,وَﻟَﻬُﻢْ,and for them,,,,,,,,,,
71,ﻋَﺬَابٌ,"punishment, torment",,,,,,,,,,
72,ﻋَﻈِﻴْﻢٌ,Great,,,,,,,,,,
73,اَﻟﻨﱠﺎسُ,the men / mankind / people,,,,,,,,,,
75,ﻳَﻘُﻮْلُ,he says / speaks / tells,,,,,,,,,,
76,ءَاﻣَﻨﱠﺎ,"we believe, we have faith",,,,,,,,,,
77,ﻣَﺎﻟَﻬُﻢْ,they are not,,,,,,,,,,
80,أَﻧْﻔُﺴَﻬُﻢْ,their person / soul,,,,,,,,,,
82,ﻣَﺮَضٌ,"disease, illness, sickness",,,,,,,,,,
87,آَﺎﻧُﻮْا,they were,,,,,,,,,,
88,ﻳﻜْﺬِﺑُﻮْنَ,they tell a lie,,,,,,,,,,
90,ﻗِﻴْﻞَis,said / told,,,,,,,,,,
92,ﻟَﺎﺗُﻔْﺴِﺪُوْا,"make not mischief, act not wickedly",,,,,,,,,,
94,ﻗَﺎﻟُﻮْا,they said,,,,,,,,,,
95,إﻧﱠﻤَﺎ,"infact, verilyonly,",,,,,,,,,,
96,ﻧَﺤْﻦُ,we,,,,,,,,,,
99,ﻣُﻔْﺴِﺪُوْنَ,"mischievous, persons, disturbance creators",,,,,,,,,,
100,ﻻآِﻦْ,but,,,,,,,,,,
101,ءَاﻣِﻨُﻮْا,"believe, become faithful",,,,,,,,,,
104,ﺳُﻔَﻬﺂءُ,foolish/insolent/stupid persons,,,,,,,,,,
105,ﻟَﻘُﻮْا,they met,,,,,,,,,,
106,ءَاﻣَﻨﱠﺎ,we believed / became faithful,,,,,,,,,,
107,ﺧَﻠَﻮْا,"they went in loneliness, secluded in",,,,,,,,,,alone
108,ﺷَﻴَﺎﻃِﻴْﻦ,"devils, devil type behavior",,,,,,,,,,
111,ﻃُﻐْﻴَﺎنْ,"contumacy, wickedness",,,,,,,,,,
112,ﻳَﻌْﻤَﻬُﻮْنَ,they wander blindly in confusion,,,,,,,,,,
113,اِﺷْﺘَﺮَوْا,they purchased / bartered,,,,,,,,,,
114,ﺿَﻠَﺎﻟَﺔٌ,"deception, straying",,,,,,,,,,
115,هُﺪى,"guidance, right way",,,,,,,,,,
116,ﻓَﻤَﺎso,(it did) not,,,,,,,,,,
117,رَﺑِﺤَﺖْ,"profited, benefited",,,,,,,,,,
118,ﻣَﺎرَﺑِﺤَﺖْ,did not profit,,,,,,,,,,
119,ﺗِﺠَﺎرَةٌ,"commerce, trade, trafficking",,,,,,,,,,
120,ﻣُﻬْﺘَﺪِﻳْﻦَ,rightly directed or guided persons,,,,,,,,,,
121,ﻣَﺜَﻞٌ,example,,,,,,,,,,
122,كَ,like,,,,,,,,,,
123,اﻟﱠﺬِيْ,one who,,,,,,,,,,
124,اِﺳْﺘَﻮْﻗَﺪَ,"kindled, lighted",,,,,,,,,,
127,أَﺿَﺂءَتْ,lighted,,,,,,,,,,
128,ﺣَﻮْﻟَﻪُ,"around him, his surroundings",,,,,,,,,,
129,ذَهَﺐَ,"took away, carried off",,,,,,,,,,
130,ﺗَﺮَكَ,"left, abandoned",,,,,,,,,,
131,ﻓِﻰْ,in between,,,,,,,,,,
132,ﻇُﻠُﻤَﺎتٌ,"darkness, gloom",,,,,,,,,,
134,ﺻُﻢﱞ,deaf,,,,,,,,,,
135,ﺑُﻜْﻢٌ,dumb,,,,,,,,,,
136,ﻋُﻤْﻰٌ,blind,,,,,,,,,,
141,ﺻَﻴﱢﺐٌ,"rain-laden cloud, rainy storm",,,,,,,,,,
142,ﺳَﻤَﺂءُ,sky,,,,,,,,,,
143,رَﻋْﺪٌ,thunder,,,,,,,,,,
144,ﺑَﺮْقٌ,lightening,,,,,,,,,,
145,ﻳَﺠْﻌَﻠُﻮْنَ,they thrust/put/place,,,,,,,,,,
146,أَﺻَﺎﺑِﻊْ,fingers,,,,,,,,,,
147,ااذَانٌ,ears,,,,,,,,,,
148,ﺻَﻮَاﻋِﻖُ,thunderclaps,,,,,,,,,,
149,ﺣَﺬَرٌ,"fear, danger",,,,,,,,,,
150,ﻣَﻮْتٌ,death,,,,,,,,,,
151,ﻣُﺤِﻴْﻂٌ,"one who surrounds, encompasses",,,,,,,,,,
152,ﻳَﻜَﺎدُ,"almost, nearly",,,,,,,,,,
153,ﻳَﺨْﻄَﻒُ,snatches / takes away,,,,,,,,,,
154,آُﻠﱠﻤَﺎ,"as often, whenever",,,,,,,,,,
155,ﻣَﺸَﻮْا,they walked,,,,,,,,,,
157,أَﻇْﻠَﻢَ,became dark,,,,,,,,,,
158,ﻗَﺎﻣُﻮْا,they stood still,,,,,,,,,,
160,ﺷَﺂءَ,"willed, wished",,,,,,,,,,
162,ﻗَﺪِﻳْﺮٌ,"omnipotent, command, capable, skillful",,,,,,,,,,
164,اُﻋْﺒُﺪُوْا,worship,,,,,,,,,,
165,رَبﱠ,"Sustainer, lord, Provider",,,,,,,,,,
167,أَﻟﱠﺬِيْ,one who,,,,,,,,,,
168,ﺧَﻠَﻖَ,"created, molded, shaped",,,,,,,,,,
169,ﻟَﻌَﻠﱠﻜُﻢْ,so that you,,,,,,,,,,
170,ﺗَﺘﱠﻘُﻮْنَ,"you may ward off(evil), you become",,,,,,,,,,
171,ﺟَﻌَﻞَ,"created, made",,,,,,,,,,
173,أَرْضٌ,earth,,,,,,,,,,
174,ﻓِﺮَاﺷًﺎ,"couch, resting place, bed",,,,,,,,,,
175,ﺑِﻨَﺂءٌ,"canopy, covering",,,,,,,,,,
176,أَﻧْﺰَلَ,"sent down, revealed",,,,,,,,,,
178,أَﺧْﺮَجَ,brought forth,,,,,,,,,,
180,"ﻣِﻦْof,","by, from",,,,,,,,,,
181,ﺛَﻤَﺮَاتْ,"fruits, gains, benefits",,,,,,,,,,
182,ﻓَﻠَﺎﺗَﺠْﻌَﻠُﻮْا,they do not set up /,,,,,,,,,,
183,أَﻧْﺪَادًا,"partners, equivalent",,,,,,,,,,
185,ﺗَﻌْﻠَﻤُﻮْنَ,you know / are aware,,,,,,,,,,
187,آُﻨْﺘُﻢْ,you are / were,,,,,,,,,,
188,ﻓِﻲ,within,,,,,,,,,,
189,رَﻳْﺐٌ,"doubt, suspicion",,,,,,,,,,
190,ﻧَﺰﱠﻟْﻨَﺎ,we revealed,,,,,,,,,,
191,ﻋَﻠﻰ,"upon, on, unto",,,,,,,,,,
192,ﻋَﺒْﺪٌ,"slave, servant",,,,,,,,,,
193,ﻓَﺄْﺗُﻮْا,so produce / bring,,,,,,,,,,
194,ﺳُﻮْرَةٌ,"Surah, a chapter of the Qur'aan",,,,,,,,,,
195,ﻣِﺜْﻠِﻪِ,"like it, similar to it /",,,,,,,,,,
196,وَادْﻋُﻮْا,and call,,,,,,,,,,
197,ﺷُﻬَﺪَاءُ,witnesses,,,,,,,,,,
199,ﺻَﺎدِﻗِﻴْﻦَ,those who are truthful,,,,,,,,,,
203,ﺗَﻔْﻌَﻠُﻮْا,you can do,,,,,,,,,,
205,اَﻟﱠﺘِﻲْ,"whose, that which",,,,,,,,,,
206,وَﻗُﻮْدٌ,fuel,,,,,,,,,,
207,هَﺎ,"its, her",,,,,,,,,,
208,ﺣِﺠَﺎرَةٌ,stones,,,,,,,,,,
209,أُﻋِﺪﱠتْ,prepared,,,,,,,,,,
210,آَﺎﻓِﺮِﻳْﻦَ,"disbelievers, those who reject faith",,,,,,,,,,
211,ﺑَﺸﱢﺮْ,give glad tidings,,,,,,,,,,
212,ﺑَﺸَﺎرَةٌ,good news,,,,,,,,,,
213,ﻋَﻤِﻠُﻮْا,"they worked, did deeds",,,,,,,,,,
214,ﺻَﺎﻟِﺤَﺎت,righteous deeds,,,,,,,,,,
215,ﺻَﺎﻟِﺤُﻮْنَ,righteous persons,,,,,,,,,,
216,أَن,ï± that,,,,,,,,,,
218,ﺟَﻨﱠﺎتٍ,gardens,,,,,,,,,,
219,ﺗَﺠْﺮِِيْ,flows,,,,,,,,,,
220,ﺗَﺤْﺖَ,"underneath, under",,,,,,,,,,
221,أَﻧْْﻬَﺎرٌ,rivers,,,,,,,,,,
222,آُﻠﱠﻤَﺎ,whenever,,,,,,,,,,
223,رُزِﻗُﻮْا,they are provided with,,,,,,,,,,
224,ﺛَﻤَﺮَةٌ,fruit,,,,,,,,,,
226,أُﺗُﻮْا," are provided, are given",,,,,,,,,,
227,ﻣُﺘَﺸَﺎﺑِﻬًﺎ,"similar, similitude",,,,,,,,,,
228,أَزُوَاجٌ,spouses,,,,,,,,,,
229,ﻣُﻄَﻬﱠﺮَةٌ,one who is purified,,,,,,,,,,
230,ﺧَﺎﻟِﺪُوْنَ,abide forever,,,,,,,,,,
231,ﻟَﺎﻳَﺴْﺘَﺤْﻲِ,disdains not,,,,,,,,,,
232ï»£ÙŽïºœÙŽï»¼Ù‹,ﻳَﻀْﺮِبُ,"uses a similitude, gives an example",,,,,,,,,,
233,ﺑَﻌُﻮْﺿَﺔٌ,"gnat, mosquito",,,,,,,,,,
235,ﻓَﺄَﻣﱠﺎ,then as,,,,,,,,,,
237,ﺣَﻖﱡ,truth,,,,,,,,,,
238,ﻣَﺎذَا,what,,,,,,,,,,
239,أَرَادَ,"desired, wished, intended",,,,,,,,,,
240,ﻳُﻀِﻞﱡ,leads astray,,,,,,,,,,
241,ﻳَﻬْﺪِيْ,guides,,,,,,,,,,
242,آَﺜِﻴﺮْ,many,,,,,,,,,,
244,ﻓَﺎﺳِﻘِﻴْﻦَ,transgressors,,,,,,,,,,
245,ﻳَﻨْﻘُﻀُﻮْنَ,they break,,,,,,,,,,
246,ﻋَﻬْﺪ,covenant,,,,,,,,,,
248,ﻣِﻴْﺜَﺎق,ratification (of covenant),,,,,,,,,,
249,ﻳَﻘْﻄَﻌُﻮْنَ,they cut off,,,,,,,,,,
250,أَﻣَﺮَ,commanded,,,,,,,,,,
252,ﺧَﺎﺳِﺮُوْنَ,losers,,,,,,,,,,
253,آَﻴْﻒَ,how,,,,,,,,,,
254,أَﻣْﻮَاﺗًﺎ,dead,,,,,,,,,,
255,ﻓَﺄََﺣْﻴَﺎآُﻢْ,and (he) gave you life,,,,,,,,,,
257,ﺗُﺮْﺟَﻌُﻮْنَ,you'll be returned,,,,,,,,,,
258,ﺧَﻠَﻖَ,created,,,,,,,,,,
259,ﻟَﻜُﻢْfor,you,,,,,,,,,,
260,ﺟَﻤِﻴْﻌًﺎ,all,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
